Species,Longitude,Latitude
Aeshna caerulea,15.28499533,64.63998309
Aeshna caerulea,15.51626232,65.04503561
Aeshna caerulea,20.75489269,67.19286596
Aeshna caerulea,21.27456031,66.59851806
Aeshna caerulea,17.07831741,64.95842417
Aeshna caerulea,14.72476018,63.16044099
Aeshna caerulea,14.37036667,63.51228793
Aeshna caerulea,13.77225399,63.08349088
Aeshna caerulea,14.33722904,65.05187008
Aeshna caerulea,14.77222818,60.61507961
Aeshna caerulea,14.86930456,60.16297727
Aeshna caerulea,20.09665327,67.9100526
Aeshna caerulea,20.93386598,67.84573539
Aeshna caerulea,15.11378162,59.11080612
Aeshna caerulea,20.23732675,63.78052707
Aeshna caerulea,19.49321038,64.57030281
Aeshna caerulea,17.81143374,63.98135059
Aeshna caerulea,14.99047259,60.70930353
Aeshna caerulea,21.15571813,67.41805115
Aeshna caerulea,13.3047328,60.30967762
Aeshna caerulea,21.74678567,66.01278047
Aeshna caerulea,20.67260158,64.02468456
Aeshna caerulea,20.88607808,63.73401872
Aeshna caerulea,22.32615781,65.57408363
Aeshna caerulea,22.3341093,65.5880864
Aeshna caerulea,21.44615941,66.7566738
Aeshna caerulea,23.77592447,65.8561155
Aeshna caerulea,19.28096085,64.04556313
Aeshna caerulea,14.78997514,59.33780842
Aeshna caerulea,14.8847995,59.84834926
Aeshna caerulea,16.04732539,59.79147571
Aeshna caerulea,13.01301827,63.42842074
Aeshna caerulea,14.67967831,63.19813181
Aeshna caerulea,12.65980508,61.62275915
Aeshna caerulea,12.16940297,62.6217088
Aeshna caerulea,16.52498269,65.71418625
Aeshna caerulea,16.04653788,65.96988488
Aeshna caerulea,16.06339863,66.01119597
Aeshna caerulea,17.82582397,64.61149991
Aeshna caerulea,21.3202417,64.37160106
Aeshna caerulea,20.8673558,68.90437517
Aeshna caerulea,19.58896025,65.47498106
Aeshna caerulea,13.15020039,61.99215104
Aeshna caerulea,17.74327822,65.81899183
Aeshna caerulea,20.93893791,65.74418622
Aeshna caerulea,21.63842704,65.3531304
Aeshna caerulea,12.71777791,62.86093684
Aeshna caerulea,12.53729865,62.5949137
Aeshna caerulea,12.83940413,61.90402691
Aeshna caerulea,12.70606783,61.63730201
Aeshna caerulea,22.54239385,65.8110059
Aeshna caerulea,17.72058672,66.9507808
Aeshna caerulea,21.53159124,65.47559769
Aeshna caerulea,18.71788348,63.32602532
Aeshna caerulea,15.13933858,65.088464
Aeshna caerulea,20.33957484,67.93959016
Aeshna caerulea,21.75624101,65.67748301
Aeshna caerulea,21.10420887,66.01207477
Aeshna caerulea,22.25211298,65.5825422
Aeshna caerulea,14.72647713,58.98132759
Aeshna caerulea,12.96179923,63.11582873
Aeshna caerulea,16.31801865,66.53840388
Aeshna caerulea,19.91379111,67.9924215
Aeshna caerulea,20.40323146,64.75026437
Aeshna caerulea,18.73949965,68.49220141
Aeshna caerulea,17.8924284,66.03113855
Aeshna caerulea,21.7182122,68.09331955
Aeshna caerulea,15.51458202,59.39201142
Aeshna caerulea,18.63936253,64.03542199
Aeshna caerulea,15.52316912,65.03543744
Aeshna caerulea,16.65203996,64.98274525
Aeshna caerulea,15.16518599,63.92932339
Aeshna caerulea,20.41429721,67.83403738
Aeshna caerulea,20.43149725,67.81286882
Aeshna caerulea,12.36886414,61.85306231
Aeshna caerulea,13.34044853,63.08990071
Aeshna caerulea,16.0270784,66.75483736
Aeshna caerulea,19.85657045,65.14523007
Aeshna caerulea,14.76538121,59.29728356
Aeshna caerulea,21.24661851,65.50806155
Aeshna caerulea,22.06741788,65.97744071
Aeshna caerulea,18.67830434,68.4196489
Aeshna caerulea,12.95926273,60.86118403
Aeshna caerulea,14.41002464,59.0093257
Aeshna caerulea,16.37594693,65.85166883
Aeshna caerulea,19.09593528,65.24926936
Aeshna caerulea,15.04587204,63.06962954
Aeshna caerulea,15.13579143,63.07299145
Aeshna caerulea,12.57803344,61.7310162
Aeshna caerulea,18.22821415,67.724735
Aeshna caerulea,18.65009806,68.42857577
Aeshna caerulea,14.79198394,61.37734819
Aeshna caerulea,15.51131768,56.8958684
Aeshna caerulea,12.79133066,63.03852472
Aeshna caerulea,19.5723418,64.18535952
Aeshna caerulea,16.04768984,60.45825344
Aeshna caerulea,15.09289797,63.12119579
Aeshna caerulea,14.00551704,57.3101607
Aeshna caerulea,14.83035369,59.31992476
Aeshna caerulea,18.99182727,63.1977311
Aeshna caerulea,12.44720049,63.25847415
Aeshna caerulea,23.24527142,67.27671809
Aeshna caerulea,16.8149798,63.85917126
Aeshna caerulea,13.96362529,57.31397298
Aeshna caerulea,12.57202678,63.34137728
Aeshna caerulea,12.49581715,61.6437634
Aeshna caerulea,16.38411421,66.20111519
Aeshna caerulea,13.39952473,60.498312
Aeshna caerulea,20.31124777,66.09966539
Aeshna caerulea,22.59349269,65.80148935
Aeshna caerulea,16.38909792,66.21016039
Aeshna caerulea,12.68063304,62.75139599
Aeshna caerulea,14.52204024,59.17534586
Aeshna caerulea,13.96694855,57.29137946
Aeshna caerulea,20.6831566,67.23267371
Aeshna caerulea,20.00942431,63.9893199
Aeshna caerulea,12.76039726,62.72202484
Aeshna caerulea,20.30735228,66.21735118
Aeshna caerulea,20.06905515,64.23718138
Aeshna caerulea,14.38179391,64.34966992
Aeshna caerulea,15.2107333,61.8911032
Aeshna caerulea,14.79142191,65.07566923
Aeshna caerulea,15.2266301,64.99274333
